subscriber_id,usage_minutes,data_gb,sms_count,cost,billing_date
CUST3902,332.17,3.2,19,57.89,2024-08-31
CUST1073,248.27,7.0,19,86.99,2024-08-31
CUST4531,258.72,5.91,21,69.38,2024-08-31
CUST6982,234.34,2.92,23,48.96,2024-08-31
CUST9768,330.09,2.01,25,41.88,2024-08-31
CUST7573,228.58,3.01,20,56.92,2024-08-31
CUST8204,260.03,1.35,20,263.23,2024-08-31
CUST4825,290.2,7.22,23,90.97,2024-08-31
CUST7622,266.61,7.27,19,93.71,2024-08-31
CUST1123,303.56,7.74,27,101.62,2024-08-31
CUST7532,317.35,7.66,13,96.05,2024-08-31
CUST7838,272.23,6.21,17,79.43,2024-08-31
CUST1498,315.41,2.43,25,46.83,2024-08-31
CUST2150,305.5,4.55,25,62.81,2024-08-31
CUST7477,301.47,2.31,21,40.49,2024-08-31
CUST7775,353.29,2.96,31,60.53,2024-08-31
CUST7948,312.8,6.18,20,78.53,2024-08-31
CUST9588,245.61,5.62,25,74.61,2024-08-31
CUST2701,257.96,0.55,23,23.6,2024-08-31
CUST8970,349.46,5.58,25,76.46,2024-08-31
CUST1436,246.24,5.06,14,64.33,2024-08-31
CUST3233,316.6,5.95,23,10.77,2024-08-31
CUST6216,279.78,4.82,24,66.8,2024-08-31
CUST6961,359.38,3.74,13,56.48,2024-08-31
CUST6739,292.99,6.8,18,82.72,2024-08-31
CUST2758,247.23,5.18,19,60.06,2024-08-31
CUST5981,342.77,4.74,23,66.75,2024-08-31
CUST4373,268.34,2.67,24,56.93,2024-08-31
CUST1488,224.83,4.1,23,52.19,2024-08-31
CUST1138,256.49,3.2,23,48.22,2024-08-31
CUST9369,250.85,5.65,19,75.27,2024-08-31
CUST8948,323.28,3.83,27,54.31,2024-08-31
CUST8958,321.96,3.7,25,68.4,2024-08-31
CUST3486,375.59,3.2,20,59.37,2024-08-31
CUST2492,312.75,1.25,21,34.25,2024-08-31
CUST7656,311.83,4.45,19,72.54,2024-08-31
CUST2327,281.4,3.12,24,50.39,2024-08-31
CUST4324,269.2,4.5,21,70.71,2024-08-31
CUST5945,240.4,3.33,31,49.11,2024-08-31
CUST1721,315.36,6.52,18,80.89,2024-08-31
CUST6112,259.41,2.1,20,37.87,2024-08-31
CUST8218,240.3,8.0,27,92.74,2024-08-31
CUST9889,294.63,4.27,25,59.56,2024-08-31
CUST1661,336.84,6.59,19,87.42,2024-08-31
CUST2311,329.19,6.56,15,86.7,2024-08-31
CUST2239,388.41,4.54,22,66.94,2024-08-31
CUST4887,333.3,7.95,22,99.43,2024-08-31
CUST4182,241.88,1.16,23,20.39,2024-08-31
CUST5773,255.39,7.58,25,93.45,2024-08-31
CUST1083,257.41,3.55,18,59.57,2024-08-31
CUST5034,295.95,0.28,20,17.77,2024-08-31
CUST9947,350.65,1.17,24,26.93,2024-08-31
CUST5900,320.87,7.45,13,92.87,2024-08-31
CUST3307,262.82,3.94,20,61.16,2024-08-31
CUST2382,313.58,6.93,18,90.79,2024-08-31
CUST2252,200.57,5.93,24,68.54,2024-08-31
CUST5227,255.14,2.3,15,16.74,2024-08-31
CUST4982,301.7,4.41,25,64.63,2024-08-31
CUST1123,370.9,2.61,21,42.71,2024-08-31
CUST4213,226.19,2.2,27,37.72,2024-08-31
CUST9579,261.85,2.57,28,44.3,2024-08-31
CUST6989,237.07,6.03,21,67.99,2024-08-31
CUST3517,269.08,4.43,12,55.9,2024-08-31
CUST4948,361.66,7.34,31,102.61,2024-08-31
CUST1330,305.44,5.78,23,72.97,2024-08-31
CUST5407,237.34,1.77,19,35.37,2024-08-31
CUST9959,302.82,4.37,23,66.98,2024-08-31
CUST9048,289.64,5.37,31,78.99,2024-08-31
CUST1798,267.82,4.74,23,62.68,2024-08-31
CUST1998,311.15,2.44,24,43.67,2024-08-31
CUST2902,280.55,5.57,19,71.4,2024-08-31
CUST7706,288.15,3.28,18,50.76,2024-08-31
CUST4574,225.74,2.67,22,32.42,2024-08-31
CUST9276,291.52,6.13,17,75.67,2024-08-31
CUST5416,298.56,0.64,31,33.41,2024-08-31
CUST7234,290.04,1.81,20,39.77,2024-08-31
CUST3635,279.49,3.97,18,54.07,2024-08-31
CUST8809,260.38,4.29,15,56.77,2024-08-31
CUST1503,213.33,3.82,23,55.09,2024-08-31
CUST1844,301.95,4.48,28,65.28,2024-08-31
CUST4501,269.81,6.71,20,88.3,2024-08-31
CUST1821,273.61,4.86,17,63.9,2024-08-31
CUST7370,281.38,7.04,19,86.11,2024-08-31
CUST4411,258.08,1.88,25,38.06,2024-08-31
CUST9251,273.3,3.45,19,54.92,2024-08-31
CUST8721,325.24,10.85,26,123.97,2024-08-31
CUST1488,333.11,2.59,20,34.63,2024-08-31
CUST6103,277.55,6.22,22,82.25,2024-08-31
CUST2589,284.66,7.31,27,95.0,2024-08-31
CUST2931,241.41,5.78,20,84.77,2024-08-31
CUST3716,346.83,3.32,22,57.1,2024-08-31
CUST1264,285.14,6.37,25,83.49,2024-08-31
CUST7670,282.53,1.96,13,34.0,2024-08-31
