subscriber_id,usage_minutes,data_gb,sms_count,cost,billing_date
CUST2490,257.0,3.58,27,54.14,2025-02-28
CUST6091,220.93,4.38,14,10.07,2025-02-28
CUST4790,306.97,8.38,26,285.58,2025-02-28
CUST3146,289.99,5.08,16,69.14,2025-02-28
CUST7330,322.78,1.89,23,37.05,2025-02-28
CUST2932,326.89,8.54,24,94.96,2025-02-28
CUST4592,372.43,2.78,20,55.68,2025-02-28
CUST2242,288.61,6.68,22,85.91,2025-02-28
CUST6874,300.91,4.61,22,63.35,2025-02-28
CUST2991,307.28,4.28,22,11.92,2025-02-28
CUST7572,266.52,2.9,21,46.52,2025-02-28
CUST9805,250.27,5.74,24,68.3,2025-02-28
CUST1389,248.43,7.58,26,104.32,2025-02-28
CUST4385,278.73,2.1,14,42.49,2025-02-28
CUST5209,301.63,6.15,16,85.54,2025-02-28
CUST6459,306.4,2.25,13,43.9,2025-02-28
CUST7664,314.72,4.49,21,64.0,2025-02-28
CUST1362,328.84,5.3,29,68.27,2025-02-28
CUST9890,299.6,4.31,23,63.18,2025-02-28
CUST7235,238.0,4.68,22,67.97,2025-02-28
CUST3868,243.59,2.77,32,56.29,2025-02-28
CUST6235,267.64,5.04,25,62.55,2025-02-28
CUST7202,364.83,7.37,16,96.12,2025-02-28
CUST6442,284.86,7.05,18,92.46,2025-02-28
CUST3470,357.08,6.31,29,87.08,2025-02-28
CUST5164,356.34,1.28,23,262.96,2025-02-28
CUST8683,379.04,2.7,25,42.53,2025-02-28
CUST9274,275.64,4.93,29,60.77,2025-02-28
CUST3946,270.86,5.63,26,67.07,2025-02-28
CUST7092,290.84,7.91,26,96.63,2025-02-28
CUST6063,298.58,6.63,20,91.16,2025-02-28
CUST1939,393.91,7.71,17,282.86,2025-02-28
CUST3964,236.2,5.39,32,72.37,2025-02-28
CUST9873,234.37,3.99,21,52.11,2025-02-28
CUST7354,279.86,7.99,17,91.38,2025-02-28
CUST4577,291.94,7.5,18,103.21,2025-02-28
CUST7223,321.87,4.51,21,62.46,2025-02-28
CUST1545,286.66,1.1,22,32.51,2025-02-28
CUST7007,309.1,6.84,21,79.09,2025-02-28
CUST4553,303.77,5.4,28,73.05,2025-02-28
CUST1051,308.5,5.78,30,77.81,2025-02-28
CUST9756,322.51,3.89,21,59.56,2025-02-28
CUST8668,318.79,3.07,14,47.88,2025-02-28
CUST9195,170.16,2.41,28,32.63,2025-02-28
CUST1292,301.05,4.47,23,58.16,2025-02-28
CUST3189,316.54,11.32,27,135.84,2025-02-28
CUST7185,228.17,5.09,22,62.18,2025-02-28
CUST5257,307.37,1.83,29,36.9,2025-02-28
CUST2424,338.74,3.79,22,56.3,2025-02-28
CUST5189,281.12,3.68,32,67.15,2025-02-28
CUST2150,212.51,10.81,25,120.84,2025-02-28
CUST4193,259.58,3.57,23,56.31,2025-02-28
CUST3308,181.19,5.69,18,73.79,2025-02-28
CUST6368,226.68,6.5,20,80.58,2025-02-28
CUST8390,431.21,0.36,19,38.22,2025-02-28
CUST2311,277.33,4.8,23,68.67,2025-02-28
CUST1050,309.35,6.53,21,84.65,2025-02-28
CUST9467,350.0,4.89,23,59.34,2025-02-28
CUST2825,305.02,6.49,24,80.19,2025-02-28
CUST3104,303.41,5.25,21,67.75,2025-02-28
CUST4938,283.33,3.46,23,50.08,2025-02-28
CUST1464,276.42,8.86,22,102.13,2025-02-28
CUST5888,306.09,6.47,18,87.01,2025-02-28
CUST6436,378.95,1.71,18,33.59,2025-02-28
CUST1475,217.58,8.87,21,103.52,2025-02-28
CUST4631,355.87,1.4,17,37.31,2025-02-28
CUST9751,245.89,6.4,25,76.76,2025-02-28
CUST7420,167.31,3.56,19,46.5,2025-02-28
CUST6254,228.48,7.06,21,85.46,2025-02-28
CUST5887,301.29,3.64,16,50.05,2025-02-28
CUST8841,222.41,7.6,25,96.01,2025-02-28
CUST8441,227.0,5.33,21,63.82,2025-02-28
CUST8098,339.49,5.69,21,77.38,2025-02-28
CUST7487,205.96,6.57,20,78.84,2025-02-28
CUST9157,345.44,4.38,24,70.99,2025-02-28
CUST4664,263.74,0.15,22,20.61,2025-02-28
CUST9645,190.92,3.79,16,37.85,2025-02-28
CUST3356,285.52,3.57,34,65.66,2025-02-28
CUST4281,284.46,5.33,20,20.33,2025-02-28
CUST9188,300.88,4.34,24,65.72,2025-02-28
CUST2528,298.56,3.02,32,56.47,2025-02-28
CUST8187,209.66,5.65,27,67.89,2025-02-28
CUST5754,327.72,3.79,12,71.1,2025-02-28
CUST8278,304.33,3.46,24,61.26,2025-02-28
CUST9899,394.81,6.56,18,87.45,2025-02-28
CUST8380,270.22,7.62,25,94.73,2025-02-28
CUST9704,235.48,1.71,20,33.52,2025-02-28
CUST1340,258.0,6.55,21,79.94,2025-02-28
CUST4716,400.83,3.95,21,79.97,2025-02-28
CUST2268,335.17,6.35,24,89.01,2025-02-28
CUST7163,290.54,8.76,23,108.19,2025-02-28
CUST7086,230.33,6.05,25,78.16,2025-02-28
CUST4582,295.12,3.07,24,51.07,2025-02-28
CUST9740,377.72,6.14,29,89.85,2025-02-28
CUST4715,337.35,2.7,17,45.8,2025-02-28
CUST1679,322.42,3.09,24,294.08,2025-02-28
CUST9096,257.19,3.09,20,38.2,2025-02-28
CUST3174,262.99,7.34,23,90.21,2025-02-28
CUST5414,297.31,9.06,24,114.74,2025-02-28
CUST2608,283.69,4.99,23,76.99,2025-02-28
CUST4009,284.87,4.56,24,64.41,2025-02-28
CUST3471,269.68,3.74,18,44.92,2025-02-28
CUST3454,297.97,9.07,17,105.41,2025-02-28
CUST8470,298.08,6.32,26,86.94,2025-02-28
CUST1642,276.47,9.25,24,117.58,2025-02-28
CUST6170,318.73,0.66,19,26.37,2025-02-28
CUST8039,327.95,5.92,20,84.6,2025-02-28
CUST7072,298.39,8.67,23,120.19,2025-02-28
CUST4134,406.46,6.35,22,92.02,2025-02-28
CUST2486,331.71,2.89,27,45.43,2025-02-28
CUST8302,273.35,6.21,24,75.22,2025-02-28
CUST5811,355.53,6.62,20,94.37,2025-02-28
CUST7959,293.16,4.19,26,55.26,2025-02-28
CUST8818,257.55,3.61,33,55.11,2025-02-28
CUST3051,283.63,6.69,31,89.24,2025-02-28
CUST6871,302.68,6.55,23,84.61,2025-02-28
CUST8911,325.72,5.6,17,76.56,2025-02-28
CUST5092,253.84,6.16,19,74.48,2025-02-28
CUST6229,231.75,5.85,26,70.53,2025-02-28
CUST9810,313.07,3.62,21,57.96,2025-02-28
CUST1632,248.1,6.91,17,83.87,2025-02-28
CUST2260,251.79,7.04,24,94.17,2025-02-28
