subscriber_id,usage_minutes,data_gb,sms_count,cost,billing_date
CUST7944,229.73,1.3,18,30.42,2024-11-30
CUST3783,373.49,5.48,17,72.67,2024-11-30
CUST6902,362.79,5.09,21,75.57,2024-11-30
CUST8839,293.24,4.38,17,55.69,2024-11-30
CUST7793,202.07,4.18,20,64.64,2024-11-30
CUST8034,331.34,5.6,29,77.77,2024-11-30
CUST3177,263.1,2.78,24,48.36,2024-11-30
CUST7000,325.12,2.81,31,53.69,2024-11-30
CUST7586,261.06,5.25,16,72.4,2024-11-30
CUST2371,233.01,6.06,18,79.24,2024-11-30
CUST9384,298.74,5.49,32,85.07,2024-11-30
CUST5135,284.51,1.5,23,37.92,2024-11-30
CUST2917,255.51,4.68,24,57.61,2024-11-30
CUST4583,294.89,2.92,33,51.16,2024-11-30
CUST6599,291.58,5.28,15,73.52,2024-11-30
CUST7076,307.46,2.95,20,60.08,2024-11-30
CUST1901,380.65,8.61,18,108.01,2024-11-30
CUST6408,327.26,2.95,27,50.54,2024-11-30
CUST6383,299.94,5.3,17,66.67,2024-11-30
CUST2271,282.57,4.36,20,67.01,2024-11-30
CUST8590,357.54,4.33,20,66.44,2024-11-30
CUST9129,298.47,6.26,27,75.21,2024-11-30
CUST6192,336.58,7.91,26,97.87,2024-11-30
CUST3311,376.33,6.56,20,83.87,2024-11-30
CUST1262,294.53,7.67,30,96.25,2024-11-30
CUST2175,393.23,3.57,21,56.5,2024-11-30
CUST9889,389.95,6.71,19,90.31,2024-11-30
CUST4348,314.98,7.26,26,101.51,2024-11-30
CUST2833,348.16,7.07,19,91.17,2024-11-30
CUST3293,252.11,4.52,27,68.13,2024-11-30
CUST2040,326.98,2.33,22,42.99,2024-11-30
CUST9148,261.05,1.53,30,30.64,2024-11-30
CUST9081,319.33,8.14,25,102.64,2024-11-30
CUST2697,344.63,4.05,15,66.13,2024-11-30
CUST3286,309.29,4.45,17,63.2,2024-11-30
CUST9278,329.66,4.99,22,77.55,2024-11-30
CUST6225,320.73,5.52,19,73.51,2024-11-30
CUST1412,235.67,7.48,29,92.12,2024-11-30
CUST2367,331.01,2.67,21,46.53,2024-11-30
CUST7316,304.15,1.96,24,45.39,2024-11-30
CUST5970,329.93,3.35,18,49.12,2024-11-30
CUST5675,338.57,7.91,19,103.46,2024-11-30
CUST2493,230.01,7.91,23,93.5,2024-11-30
CUST3525,252.16,2.8,26,37.35,2024-11-30
CUST8031,302.81,5.53,21,84.84,2024-11-30
CUST4522,409.5,4.67,19,68.04,2024-11-30
CUST8481,252.07,7.49,23,85.79,2024-11-30
CUST1362,248.42,5.14,28,66.94,2024-11-30
CUST1986,346.55,7.68,20,101.96,2024-11-30
CUST7729,332.3,7.99,23,103.24,2024-11-30
CUST8786,363.0,4.28,29,74.82,2024-11-30
CUST3330,346.36,4.76,21,76.01,2024-11-30
CUST4124,343.98,4.96,17,73.01,2024-11-30
CUST7373,359.61,7.37,21,105.93,2024-11-30
CUST6697,300.24,7.03,27,90.68,2024-11-30
CUST5154,301.04,5.43,19,411.57,2024-11-30
CUST9487,297.5,3.97,26,63.04,2024-11-30
CUST6193,321.5,6.92,15,91.13,2024-11-30
CUST5666,325.53,6.07,24,79.12,2024-11-30
CUST3811,304.79,6.27,22,87.67,2024-11-30
CUST6547,247.19,2.93,28,41.76,2024-11-30
CUST1393,312.12,6.19,20,75.75,2024-11-30
CUST3765,372.77,3.86,20,60.77,2024-11-30
CUST3587,290.47,4.5,19,64.95,2024-11-30
CUST1350,224.43,5.71,13,70.48,2024-11-30
CUST3319,390.41,3.05,19,44.76,2024-11-30
CUST9713,386.76,7.76,22,109.61,2024-11-30
CUST6633,286.09,3.95,20,56.35,2024-11-30
CUST1366,362.52,1.24,13,34.38,2024-11-30
CUST5831,354.22,2.02,24,38.14,2024-11-30
CUST8043,279.03,7.33,23,87.37,2024-11-30
CUST7467,289.22,5.5,10,70.52,2024-11-30
CUST7605,356.84,1.87,22,38.46,2024-11-30
CUST5028,278.54,1.39,32,34.34,2024-11-30
CUST3965,313.34,4.66,19,68.77,2024-11-30
CUST3295,226.34,3.25,21,41.96,2024-11-30
CUST9405,309.22,2.71,15,47.52,2024-11-30
CUST4997,260.34,7.59,28,86.11,2024-11-30
CUST8458,269.57,8.28,17,100.79,2024-11-30
CUST8449,286.12,3.26,22,45.78,2024-11-30
CUST2382,213.62,7.91,17,88.56,2024-11-30
CUST1555,343.57,4.43,21,56.08,2024-11-30
CUST1615,384.67,7.48,25,95.82,2024-11-30
CUST5720,216.56,4.08,18,57.2,2024-11-30
CUST6643,367.07,5.14,25,75.74,2024-11-30
CUST5215,183.81,5.78,30,74.99,2024-11-30
CUST5924,276.27,5.6,23,84.18,2024-11-30
CUST7093,260.15,3.41,16,46.73,2024-11-30
CUST5322,330.96,6.62,19,91.53,2024-11-30
CUST3403,356.76,6.59,28,91.18,2024-11-30
CUST2437,406.07,3.02,27,61.31,2024-11-30
CUST1961,305.58,4.67,16,57.48,2024-11-30
CUST5344,286.7,2.73,25,44.4,2024-11-30
CUST2490,289.59,5.12,23,62.21,2024-11-30
CUST6262,270.02,7.08,30,97.32,2024-11-30
CUST7119,294.41,3.78,20,60.86,2024-11-30
CUST4744,379.47,4.5,22,75.38,2024-11-30
CUST5190,332.14,4.99,29,71.49,2024-11-30
CUST3365,340.36,4.26,28,60.22,2024-11-30
CUST8547,318.31,0.6,26,29.57,2024-11-30
CUST8727,290.14,5.55,14,19.24,2024-11-30
CUST1179,380.58,4.87,20,72.41,2024-11-30
CUST1479,293.74,7.6,24,87.94,2024-11-30
CUST8799,307.4,3.75,18,58.1,2024-11-30
CUST3294,206.65,7.37,24,88.83,2024-11-30
CUST3455,256.52,2.41,25,36.89,2024-11-30
CUST5044,270.11,8.42,25,102.11,2024-11-30
CUST8807,385.61,4.49,30,18.69,2024-11-30
CUST3797,341.74,3.98,27,65.83,2024-11-30
CUST2485,290.23,1.75,25,36.0,2024-11-30
CUST9448,250.0,4.07,26,58.27,2024-11-30
CUST2512,264.53,6.04,30,77.65,2024-11-30
CUST4071,248.67,3.14,23,48.99,2024-11-30
CUST7926,297.4,5.51,22,75.79,2024-11-30
CUST5256,261.0,3.7,23,58.99,2024-11-30
CUST8424,268.39,4.36,20,57.87,2024-11-30
CUST8543,315.62,4.71,21,58.29,2024-11-30
CUST7833,297.34,2.98,20,49.09,2024-11-30
CUST6071,269.88,3.82,15,52.8,2024-11-30
CUST7454,346.9,4.58,24,70.03,2024-11-30
CUST4659,348.78,3.46,22,19.41,2024-11-30
CUST3543,299.82,5.69,34,78.49,2024-11-30
CUST8094,336.73,2.43,17,51.69,2024-11-30
CUST1390,216.91,3.56,26,51.15,2024-11-30
CUST1394,216.98,3.91,22,55.73,2024-11-30
CUST5767,389.43,5.17,18,79.98,2024-11-30
CUST6255,239.45,5.48,24,70.73,2024-11-30
CUST9263,369.65,3.97,27,64.9,2024-11-30
CUST4840,263.59,2.51,24,43.39,2024-11-30
CUST4106,393.15,4.39,16,73.39,2024-11-30
CUST9338,402.3,6.91,31,18.37,2024-11-30
CUST1544,351.35,0.15,21,18.12,2024-11-30
CUST1637,320.27,2.23,23,41.95,2024-11-30
CUST5794,289.66,6.99,24,99.06,2024-11-30
CUST9943,263.78,3.29,16,43.33,2024-11-30
CUST5568,331.98,5.28,26,73.82,2024-11-30
CUST7414,233.61,3.73,19,10.33,2024-11-30
CUST3832,360.82,2.35,15,43.02,2024-11-30
CUST8230,349.05,3.79,22,63.1,2024-11-30
CUST1734,347.19,3.67,24,48.61,2024-11-30
CUST7110,236.28,6.4,19,77.98,2024-11-30
CUST9380,269.72,6.07,15,84.14,2024-11-30
CUST3110,333.39,5.13,24,83.59,2024-11-30
CUST2924,290.86,4.18,21,57.69,2024-11-30
CUST8040,330.15,3.24,23,48.06,2024-11-30
CUST2950,292.96,7.86,23,90.8,2024-11-30
CUST6865,367.37,1.78,23,45.14,2024-11-30
CUST3187,294.3,7.43,22,99.12,2024-11-30
CUST2937,338.38,4.28,23,65.26,2024-11-30
CUST3736,290.91,6.64,22,92.98,2024-11-30
CUST7892,238.56,5.93,31,74.89,2024-11-30
CUST4681,216.23,4.03,19,56.91,2024-11-30
CUST4079,361.25,3.63,16,58.49,2024-11-30
CUST1921,354.49,2.47,24,359.76,2024-11-30
CUST7999,266.73,9.01,22,106.32,2024-11-30
CUST8549,275.29,4.79,26,59.84,2024-11-30
CUST4520,279.34,4.45,23,64.35,2024-11-30
CUST9533,313.08,4.49,15,62.13,2024-11-30
CUST8004,366.06,6.28,26,88.42,2024-11-30
CUST6725,375.14,6.14,22,75.36,2024-11-30
CUST5277,307.3,5.49,26,72.5,2024-11-30
CUST9676,373.61,4.7,23,68.37,2024-11-30
CUST6914,319.25,5.7,19,79.93,2024-11-30
CUST9095,384.13,2.87,18,59.5,2024-11-30
CUST6090,359.28,3.38,26,47.51,2024-11-30
CUST8089,233.71,4.89,22,66.46,2024-11-30
CUST1303,298.35,3.33,32,60.67,2024-11-30
CUST5974,235.43,4.44,17,61.76,2024-11-30
CUST7843,387.79,6.91,20,87.28,2024-11-30
CUST3237,343.79,2.36,16,42.31,2024-11-30
CUST5838,339.64,3.7,26,59.71,2024-11-30
CUST3119,311.09,3.43,17,51.72,2024-11-30
CUST2954,286.77,5.7,24,82.51,2024-11-30
CUST7253,247.64,7.64,13,90.69,2024-11-30
CUST1876,356.05,5.74,18,71.5,2024-11-30
CUST9536,319.29,6.07,16,83.14,2024-11-30
CUST8276,275.79,7.23,24,352.21,2024-11-30
CUST8290,326.72,4.01,19,65.49,2024-11-30
CUST3983,303.56,3.83,20,58.42,2024-11-30
CUST4216,326.16,5.22,22,71.44,2024-11-30
CUST9633,345.06,1.38,22,28.33,2024-11-30
CUST2683,299.27,4.32,34,72.93,2024-11-30
CUST6186,329.89,5.26,24,71.6,2024-11-30
CUST2445,363.47,2.71,22,51.27,2024-11-30
CUST1891,319.54,8.28,21,107.09,2024-11-30
CUST5914,326.66,5.29,26,69.63,2024-11-30
CUST2165,307.32,5.68,16,80.01,2024-11-30
